pesex,peeduca,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
1,39,36,1,-1,11,1,46,1
2,42,34,1,-1,11,1,46,1
1,43,51,1,-1,4,2,10,4
1,43,25,1,-1,4,9,7,21
1,41,24,1,-1,4,2,7,4
1,44,52,1,-1,8,1,34,1
1,39,28,1,-1,7,1,29,1
2,39,27,1,-1,9,2,36,9
2,39,29,1,-1,5,1,21,1
2,39,46,1,-1,12,3,50,14
2,42,55,1,-1,4,1,19,2
1,39,56,1,-1,4,10,6,22
2,40,22,1,-1,10,5,40,17
1,39,53,1,-1,9,3,38,14
2,39,47,1,-1,11,4,46,16
1,42,74,1,-1,9,3,38,12
1,43,40,1,-1,3,7,4,19
1,46,66,1,-1,10,2,42,10
2,43,25,1,-1,8,1,33,1
1,40,44,1,-1,8,1,32,1
2,40,40,1,-1,8,5,32,17
2,44,67,1,-1,10,1,42,1
1,44,48,1,-1,6,1,23,1
2,43,47,1,-1,9,4,38,16
2,46,31,1,-1,10,2,41,4
1,39,33,1,-1,5,2,22,10
1,44,34,1,-1,10,2,40,3
2,43,29,1,-1,12,2,48,9
1,46,76,1,-1,9,1,36,2
2,39,51,1,-1,4,9,10,21
1,39,65,1,-1,4,8,11,20
1,42,64,1,-1,10,5,42,17
2,39,60,1,-1,8,5,32,17
2,40,52,1,-1,8,1,33,2
1,40,53,1,-1,8,1,34,1
2,39,46,1,-1,10,2,40,10
1,39,49,1,-1,4,9,10,21
1,39,23,1,-1,13,10,51,22
1,39,40,1,-1,4,10,14,22
1,39,29,1,-1,4,2,10,3
1,40,54,1,-1,11,2,44,9
1,44,66,1,-1,13,3,51,12
2,43,42,1,-1,10,2,40,8
2,39,47,1,-1,12,3,48,15
1,39,48,1,-1,12,3,48,15
2,44,76,1,-1,10,3,42,11
2,40,74,1,-1,10,3,43,11
1,40,28,1,-1,13,3,51,12
2,39,74,1,-1,13,5,51,17
1,42,36,1,-1,6,5,23,17
2,40,43,1,-1,3,7,4,19
2,46,50,1,-1,10,2,40,8
1,37,17,1,-1,12,3,49,15
2,42,41,1,-1,9,2,38,10
1,39,19,1,-1,11,3,46,13
1,42,33,1,-1,4,9,10,21
2,39,51,1,-1,5,2,22,10
1,36,62,1,-1,6,10,23,22
2,40,79,1,-1,5,9,22,21
1,44,47,1,-1,10,2,40,8
2,43,36,1,-1,10,2,40,8
1,40,75,1,-1,5,10,22,22
1,39,50,1,-1,4,2,10,4
1,44,69,1,-1,9,2,36,7
1,40,62,2,-1,10,2,41,10
1,39,25,1,-1,11,2,44,9
1,44,70,4,18,9,2,36,3
2,44,61,1,-1,11,3,44,15
1,43,54,1,-1,8,4,32,16
2,44,54,1,-1,10,1,40,2
2,40,22,1,-1,10,2,40,8
2,40,20,1,-1,10,3,40,12
1,43,51,1,-1,8,1,32,2
2,44,50,1,-1,10,5,41,17
1,37,41,1,-1,3,1,4,1
2,39,40,1,-1,10,3,41,11
1,43,54,4,4,8,1,33,1
2,39,22,1,-1,11,3,46,13
2,42,22,2,-1,11,3,46,13
1,44,45,1,-1,9,2,36,4
1,40,25,1,-1,10,2,40,6
1,40,62,1,-1,6,10,23,22
1,41,56,1,-1,4,7,13,19
2,43,63,1,-1,10,5,41,17
1,44,44,1,-1,8,1,33,2
2,41,62,1,-1,11,4,46,16
1,40,76,1,-1,11,3,46,13
2,40,73,1,-1,10,2,40,8
1,41,40,1,-1,10,2,40,8
1,43,67,1,-1,8,4,32,16
