pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
1,39,2,33,1,-1,11,3,45,14
2,40,2,33,1,-1,12,3,48,15
2,41,1,35,1,-1,10,5,41,17
1,43,1,37,1,-1,3,1,4,2
2,39,1,59,1,-1,4,9,14,21
2,39,1,65,1,-1,5,4,22,16
2,40,1,71,5,-1,12,2,49,9
1,42,1,31,1,-1,9,3,38,14
2,42,1,40,1,-1,10,2,42,10
1,44,1,45,1,-1,4,1,19,1
2,43,1,46,1,-1,10,2,40,8
2,43,1,46,1,-1,13,1,51,1
1,39,1,21,1,-1,4,9,12,21
1,39,1,19,2,-1,11,3,46,13
2,40,1,44,1,-1,10,2,41,10
1,34,1,21,1,-1,3,7,4,19
1,41,1,48,1,-1,4,1,5,2
2,39,1,37,1,-1,4,1,13,2
1,39,1,57,1,-1,11,3,45,14
2,39,1,54,1,-1,5,1,22,2
1,39,1,39,1,-1,10,4,42,16
2,40,1,57,1,-1,12,3,48,15
1,40,1,34,4,52,4,3,16,12
1,44,1,63,1,-1,3,1,4,1
1,39,1,27,1,-1,11,3,46,13
1,39,1,52,1,-1,11,1,44,1
2,46,2,69,1,-1,10,2,41,10
1,43,1,41,1,-1,3,7,4,19
1,46,1,66,1,-1,10,1,42,2
1,43,1,59,1,-1,5,4,22,16
2,40,1,51,1,-1,8,1,32,2
1,40,1,53,1,-1,12,8,48,20
2,43,1,28,1,-1,9,1,36,2
1,40,1,42,1,-1,5,10,22,22
1,43,1,45,1,-1,9,3,38,14
2,43,1,41,1,-1,12,3,50,11
1,39,1,28,1,-1,3,7,4,19
1,39,1,36,1,-1,4,1,13,1
2,40,1,35,1,-1,8,4,33,16
1,39,2,59,1,-1,11,8,44,20
2,39,2,19,4,9,10,3,42,11
2,39,2,22,1,-1,4,10,14,22
1,39,2,58,1,-1,11,8,44,20
2,43,1,39,1,-1,7,5,29,17
1,39,1,39,1,-1,5,1,22,1
2,44,1,65,1,-1,10,2,40,8
2,35,1,47,1,-1,5,3,22,14
1,40,1,49,1,-1,3,1,4,1
2,36,1,16,1,-1,5,10,22,22
2,43,1,39,1,-1,10,2,40,8
1,46,1,39,1,-1,12,2,49,6
2,40,2,34,1,-1,10,3,41,13
1,39,1,65,1,-1,5,4,22,16
1,46,1,63,1,-1,10,2,40,8
2,43,1,64,1,-1,11,2,44,8
2,43,1,35,1,-1,5,10,22,22
1,39,1,58,2,-1,13,8,51,20
1,39,1,55,1,-1,5,10,22,22
1,41,1,33,1,-1,10,2,41,10
1,42,1,44,1,-1,10,2,41,10
2,41,1,58,1,-1,10,3,40,13
1,43,1,75,1,-1,12,2,49,6
1,43,1,67,1,-1,3,10,4,22
1,39,1,28,1,-1,4,10,17,22
2,39,1,24,1,-1,12,3,48,15
1,43,1,26,1,-1,13,5,51,17
2,44,1,53,1,-1,13,1,51,1
1,42,1,26,1,-1,11,1,44,1
2,44,1,50,1,-1,13,1,51,2
2,44,1,65,1,-1,10,1,43,1
2,39,1,41,1,-1,8,2,32,9
1,44,1,58,1,-1,10,2,40,8
2,44,1,50,1,-1,10,1,40,1
2,40,1,54,1,-1,9,3,38,14
1,39,1,59,1,-1,8,1,34,1
2,40,1,21,1,-1,11,4,46,16
1,43,1,29,1,-1,8,1,33,2
1,44,1,39,1,-1,9,1,36,2
2,46,1,77,1,-1,10,2,43,8
1,36,3,35,4,10,9,3,38,14
2,39,1,30,1,-1,5,4,22,16
2,44,1,48,1,-1,10,2,42,6
1,46,1,53,1,-1,5,2,22,5
2,42,1,49,1,-1,6,2,23,10
1,41,1,53,1,-1,6,5,23,17
1,43,1,25,4,20,5,10,22,22
1,39,1,32,1,-1,4,8,13,20
1,39,1,24,1,-1,5,10,22,22
1,43,1,78,2,-1,8,1,34,1
2,43,1,50,1,-1,8,4,33,16
1,43,1,57,1,-1,9,1,36,1
2,40,1,28,1,-1,6,10,23,22
1,40,1,27,1,-1,6,10,23,22
2,44,1,51,1,-1,8,1,33,2
1,43,1,61,1,-1,8,2,32,3
2,42,1,61,1,-1,6,10,23,22
2,43,1,26,1,-1,10,2,40,10
1,43,1,39,1,-1,4,1,7,2
2,40,1,42,1,-1,10,2,43,8
1,42,1,53,1,-1,5,4,22,16
2,43,1,74,1,-1,5,10,22,22
1,43,1,26,1,-1,9,2,36,4
2,43,1,25,1,-1,8,2,33,3
1,44,1,30,1,-1,8,1,33,1
2,43,1,25,1,-1,4,2,10,4
1,34,1,53,1,-1,6,10,23,22
2,34,1,63,2,-1,6,10,23,22
1,39,1,67,1,-1,4,5,10,17
2,43,1,64,1,-1,10,2,41,10
1,39,1,63,1,-1,5,4,22,16
2,43,2,30,1,-1,10,3,43,11
2,39,2,50,7,-1,10,3,43,15
1,39,2,63,1,-1,12,8,47,20
1,41,2,42,1,-1,9,3,38,14
2,43,1,54,1,-1,7,4,25,16
1,43,1,57,1,-1,11,3,44,15
2,36,4,71,1,-1,4,9,9,21
2,43,1,43,1,-1,8,4,33,16
2,40,1,65,1,-1,9,2,36,3
1,43,1,28,1,-1,11,3,44,15
2,42,1,59,1,-1,5,4,22,16
1,39,1,43,1,-1,11,3,46,13
2,44,1,69,1,-1,10,2,40,5
1,44,1,70,1,-1,10,2,40,8
1,41,1,61,1,-1,9,1,36,1
2,39,1,61,1,-1,10,2,42,10
1,41,3,73,2,-1,13,10,51,22
2,40,1,72,1,-1,5,4,22,16
1,39,1,59,1,-1,3,8,4,20
2,37,1,42,1,-1,9,3,38,14
2,44,1,45,1,-1,10,2,40,8
1,42,1,58,1,-1,3,7,4,19
1,39,1,23,1,-1,11,3,46,13
2,43,1,44,1,-1,12,3,48,15
2,42,1,69,1,-1,10,3,42,11
2,42,1,34,1,-1,3,4,4,16
1,39,1,45,1,-1,3,7,4,19
1,43,1,48,1,-1,8,4,34,16
2,39,1,41,1,-1,10,2,40,8
1,43,1,24,1,-1,4,1,10,1
1,43,1,29,1,-1,7,2,25,9
1,43,1,27,1,-1,4,2,10,3
2,42,1,24,1,-1,10,3,42,11
1,39,1,53,1,-1,4,7,10,19
1,39,1,47,1,-1,3,1,4,1
2,39,1,50,1,-1,9,5,36,17
1,37,1,52,1,-1,6,10,23,22
2,43,2,45,1,-1,10,3,43,15
2,39,2,21,1,-1,10,2,43,8
1,43,1,34,1,-1,13,3,51,12
2,44,1,35,1,-1,10,5,41,17
2,39,1,30,1,-1,10,3,40,12
1,39,1,59,1,-1,5,4,22,16
2,44,1,32,1,-1,10,2,42,10
2,39,1,72,1,-1,8,1,32,2
1,44,1,48,1,-1,13,1,51,2
2,44,1,49,1,-1,10,2,42,6
2,44,1,50,1,-1,10,2,40,8
1,37,1,18,1,-1,11,3,46,13
1,37,1,18,1,-1,11,3,46,13
1,43,1,56,1,-1,8,1,32,1
2,44,1,40,1,-1,11,3,46,13
2,43,1,80,2,-1,5,4,22,16
1,43,1,29,1,-1,4,2,8,4
1,43,1,31,2,-1,9,1,36,1
2,39,2,34,4,57,4,4,13,16
1,43,1,73,1,-1,8,4,34,16
1,43,1,35,1,-1,8,1,32,1
