pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1,gtcbsa
1,43,1,48,1,-1,3,7,4,19,33860
1,39,1,61,1,-1,3,8,4,20,0
2,43,1,53,1,-1,4,5,18,17,0
1,43,1,57,1,-1,4,2,17,4,0
2,44,1,56,1,-1,6,5,23,17,0
2,43,1,79,1,-1,3,1,4,1,0
1,39,1,47,1,-1,5,8,22,20,0
2,43,1,49,1,-1,9,2,38,10,0
1,35,1,38,1,-1,9,2,36,3,0
2,39,1,35,1,-1,10,2,41,10,12220
1,39,1,34,1,-1,12,8,47,20,12220
2,44,1,68,1,-1,10,1,42,1,13820
2,40,1,31,1,-1,12,3,48,15,13820
1,39,1,25,1,-1,11,1,46,1,13820
2,44,1,49,1,-1,10,1,42,1,13820
1,44,1,48,1,-1,10,2,43,6,13820
2,39,1,17,1,-1,5,4,22,16,13820
2,43,1,57,1,-1,9,4,38,16,33660
1,43,1,58,1,-1,8,2,33,3,33660
1,45,1,70,1,-1,7,2,27,3,13820
2,44,1,63,1,-1,9,1,36,2,13820
1,43,1,55,1,-1,6,1,23,1,13820
2,43,1,54,1,-1,12,3,48,15,13820
1,39,2,28,1,-1,11,3,46,13,13820
1,39,2,27,1,-1,11,3,46,13,13820
1,40,1,27,1,-1,11,3,46,13,13820
1,40,2,36,1,-1,6,10,23,22,13820
2,39,2,43,1,-1,4,9,10,21,13820
1,39,2,34,1,-1,6,10,23,22,13820
1,39,2,69,1,-1,4,3,8,14,13820
1,39,2,24,1,-1,11,3,46,13,13820
1,32,1,38,1,-1,3,7,4,19,22520
2,43,1,29,1,-1,9,5,36,17,22520
1,39,1,28,1,-1,5,3,22,12,22520
2,43,1,28,1,-1,10,2,41,10,22520
1,43,1,24,1,-1,5,10,22,22,26620
1,43,2,37,1,-1,10,3,42,11,12220
2,39,2,61,1,-1,10,3,42,11,12220
1,40,1,60,1,-1,5,8,22,20,26620
2,40,1,62,1,-1,10,3,42,11,33860
1,44,1,70,1,-1,7,5,31,17,33860
1,44,1,70,1,-1,6,10,23,22,12220
1,43,2,27,1,-1,5,10,22,22,13820
2,40,2,32,1,-1,5,10,22,22,33660
1,39,1,65,1,-1,10,1,40,2,12220
2,43,1,59,1,-1,8,1,33,2,12220
2,41,1,67,1,-1,4,4,8,16,13820
2,40,1,59,1,-1,5,4,22,16,22520
2,40,1,55,1,-1,5,4,22,16,13820
2,39,1,37,1,-1,11,3,46,13,33660
1,39,1,23,1,-1,4,9,20,21,33660
1,44,1,37,1,-1,10,2,42,6,14860
2,43,1,35,1,-1,13,5,51,17,14860
2,45,4,71,1,-1,10,2,41,10,25540
2,39,1,39,1,-1,8,1,32,2,25540
1,39,1,65,1,-1,9,3,38,14,35300
1,43,1,53,1,-1,13,2,51,4,35980
2,44,1,54,1,-1,5,4,22,16,35980
1,37,1,47,1,-1,3,7,4,19,25540
1,37,1,18,1,-1,9,5,38,17,25540
1,40,1,68,1,-1,4,2,10,7,47930
2,39,6,26,1,-1,7,2,26,9,47930
1,43,1,24,1,-1,4,1,13,1,14860
1,43,1,26,1,-1,3,1,4,2,14860
