peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
39,2,36,1,-1,5,4,22,16
44,1,47,1,-1,10,1,40,1
44,1,46,1,-1,9,1,36,1
43,1,35,1,-1,3,1,4,1
40,1,32,1,-1,9,2,36,9
40,1,38,1,-1,6,3,23,15
40,1,39,1,-1,3,1,4,1
39,1,59,1,-1,4,9,14,21
40,1,30,1,-1,11,3,45,14
41,1,45,3,12,4,9,10,21
38,1,20,1,-1,10,3,43,15
37,1,22,1,-1,4,10,14,22
41,1,33,1,-1,3,8,4,20
40,1,37,1,-1,8,4,34,16
39,1,38,1,-1,13,9,51,21
43,1,49,1,-1,6,5,24,17
39,1,30,1,-1,10,2,43,8
43,1,85,1,-1,3,1,4,1
39,1,40,1,-1,4,9,14,21
46,1,67,1,-1,10,2,42,10
39,1,39,1,-1,6,5,23,17
39,1,59,1,-1,4,9,6,21
46,4,31,1,-1,10,2,40,5
39,4,34,1,-1,10,2,40,3
44,4,35,1,-1,10,2,41,3
44,1,35,1,-1,10,5,42,17
46,1,33,1,-1,10,2,42,10
43,1,51,1,-1,9,1,38,1
43,1,59,1,-1,13,4,51,16
39,2,25,1,-1,6,5,23,17
39,2,50,1,-1,8,4,32,16
43,1,29,1,-1,4,2,6,3
41,1,28,1,-1,5,4,22,16
39,1,47,1,-1,10,3,40,13
39,1,50,2,-1,4,10,19,22
39,1,24,1,-1,13,10,51,22
44,1,63,1,-1,10,2,40,8
43,1,34,1,-1,4,2,20,4
39,1,34,1,-1,8,4,35,16
44,2,33,1,-1,4,5,10,17
41,2,39,1,-1,6,10,23,22
43,1,40,1,-1,4,2,6,3
40,1,19,1,-1,11,3,46,13
43,4,41,1,-1,4,1,7,1
44,1,70,1,-1,9,2,36,7
40,1,36,1,-1,4,1,7,1
46,1,65,1,-1,10,2,43,10
33,1,44,1,-1,3,7,4,19
43,1,51,1,-1,8,4,33,16
43,1,57,1,-1,9,1,36,1
40,1,29,1,-1,6,10,23,22
40,1,27,1,-1,6,10,23,22
44,1,63,1,-1,9,1,36,1
43,1,74,1,-1,5,10,22,22
40,1,35,1,-1,4,2,6,3
37,1,68,1,-1,10,3,43,15
45,4,80,1,-1,10,2,42,10
44,1,45,1,-1,8,1,33,2
41,2,43,2,-1,9,3,38,14
40,1,29,1,-1,10,3,41,11
39,1,31,1,-1,5,8,22,20
39,1,43,1,-1,11,3,46,13
44,1,44,1,-1,10,5,40,17
39,1,46,1,-1,12,1,47,1
39,1,47,1,-1,3,7,4,19
40,1,24,1,-1,12,8,47,20
41,1,75,1,-1,10,2,41,10
43,1,59,1,-1,6,2,24,4
46,1,63,1,-1,10,2,42,10
43,1,69,1,-1,10,2,41,10
43,1,33,1,-1,8,1,32,1
39,7,22,1,-1,11,3,44,13
39,1,23,1,-1,11,3,46,13
43,1,44,1,-1,12,3,48,15
42,1,69,1,-1,10,3,42,11
43,1,29,1,-1,7,2,25,9
38,1,28,1,-1,10,2,40,8
37,2,56,1,-1,11,4,46,16
43,1,59,1,-1,8,9,32,21
41,1,62,1,-1,5,4,22,16
43,8,32,1,-1,9,5,36,17
39,2,33,1,-1,12,10,47,22
39,1,35,1,-1,11,3,46,13
39,1,73,1,-1,5,10,22,22
43,1,26,1,-1,10,2,40,8
43,1,26,1,-1,13,2,51,5
43,1,33,1,-1,10,2,40,8
43,1,37,2,-1,9,1,36,1
44,4,59,2,-1,12,3,48,15
40,4,21,1,-1,10,5,40,17
41,2,32,1,-1,9,2,38,10
44,1,60,4,47,13,1,51,1
46,2,50,1,-1,4,9,19,21
41,2,31,1,-1,5,4,22,16
42,1,75,1,-1,10,2,43,6
43,1,51,1,-1,8,3,34,14
36,2,29,4,10,11,1,46,1
43,1,85,1,-1,5,5,21,17
39,1,32,1,-1,11,3,46,13
41,1,32,1,-1,13,2,51,10
39,1,23,1,-1,11,3,46,13
39,1,51,1,-1,6,9,24,21
39,2,27,1,-1,10,3,43,11
42,2,48,1,-1,9,1,36,2
37,2,28,4,6,11,1,46,1
39,2,46,1,-1,10,3,42,13
42,2,38,1,-1,11,3,46,13
37,2,18,1,-1,11,3,46,13
39,1,58,1,-1,8,5,32,17
43,1,63,1,-1,9,4,38,16
40,1,39,1,-1,12,1,49,1
44,1,37,1,-1,12,4,49,16
45,1,79,1,-1,9,2,36,7
46,1,73,1,-1,9,2,36,7
46,1,44,1,-1,13,2,51,5
43,6,27,1,-1,9,1,36,2
43,1,34,1,-1,10,2,40,8
33,4,72,1,-1,12,3,50,14
44,4,59,1,-1,13,1,51,1
43,1,70,5,-1,10,2,43,8
44,2,39,1,-1,10,2,40,8
44,2,42,1,-1,10,2,40,8
43,1,26,1,-1,8,1,32,1
43,1,26,1,-1,9,1,36,2
39,1,19,4,26,5,2,22,10
43,1,28,1,-1,11,4,46,16
44,3,28,1,-1,13,2,51,3
43,1,31,1,-1,5,2,21,9
44,1,31,1,-1,12,2,49,5
44,1,30,1,-1,9,1,38,2
44,4,27,1,-1,9,2,36,3
46,1,34,1,-1,13,2,51,5
43,1,34,1,-1,9,1,36,2
43,4,42,1,-1,9,1,36,2
44,1,45,1,-1,11,1,44,1
44,1,47,1,-1,11,1,44,2
43,1,69,1,-1,9,3,38,14
44,1,63,1,-1,9,2,36,4
40,1,58,1,-1,10,8,41,20
43,2,55,1,-1,10,2,42,10
40,1,50,1,-1,6,9,24,21
40,1,44,1,-1,8,1,32,1
40,1,19,1,-1,12,3,48,15
43,4,45,1,-1,10,2,40,8
39,1,63,1,-1,3,1,4,1
41,1,39,1,-1,11,3,46,13
44,1,63,1,-1,13,2,51,5
44,2,63,1,-1,7,2,27,9
46,2,67,1,-1,10,1,40,1
46,2,52,1,-1,8,2,33,3
46,2,48,1,-1,9,2,36,6
42,1,64,1,-1,8,8,34,20
42,1,63,1,-1,10,2,42,10
43,1,37,1,-1,6,2,23,3
42,1,37,1,-1,10,2,42,10
42,1,30,1,-1,8,1,35,1
44,1,31,1,-1,9,1,38,2
43,1,60,1,-1,6,5,23,17
45,1,69,1,-1,9,2,36,7
43,1,38,1,-1,9,2,36,3
43,1,37,1,-1,9,1,36,2
43,1,26,1,-1,11,3,46,13
40,1,71,1,-1,3,7,4,19
43,2,43,1,-1,8,1,32,1
39,2,70,1,-1,4,10,14,22
38,2,33,1,-1,10,3,43,14
39,2,57,1,-1,10,2,42,10
43,1,36,1,-1,10,9,40,21
42,2,67,1,-1,5,2,22,10
39,1,40,1,-1,12,3,48,15
32,1,30,1,-1,3,7,4,19
40,2,38,1,-1,6,5,23,17
39,11,23,4,8,11,3,46,13
39,2,55,1,-1,4,10,11,22
39,2,49,1,-1,9,5,36,17
45,1,65,1,-1,5,9,22,21
40,1,63,1,-1,12,3,48,15
39,2,64,1,-1,5,5,22,17
42,1,24,1,-1,5,4,21,16
36,1,71,1,-1,3,7,4,19
36,1,60,1,-1,3,7,4,19
39,5,52,1,-1,9,3,38,14
40,1,59,1,-1,12,3,48,11
39,1,63,1,-1,5,5,22,17
40,4,55,1,-1,3,1,4,1
39,4,55,1,-1,10,1,42,1
43,4,23,1,-1,11,1,44,2
38,1,44,1,-1,10,10,43,22
