pesex,peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
1,42,1,41,1,-1,9,10,39,22
2,39,4,33,1,-1,12,3,48,15
1,40,1,57,1,-1,4,1,14,1
2,43,1,51,1,-1,10,2,42,10
1,43,1,61,1,-1,11,5,44,17
1,39,1,59,1,-1,3,7,4,19
1,43,1,36,1,-1,9,1,36,1
2,40,2,27,1,-1,10,3,43,15
2,40,2,56,1,-1,5,1,21,1
2,39,1,32,1,-1,11,1,46,1
2,38,1,22,1,-1,11,3,46,13
2,39,1,43,1,-1,11,3,46,13
1,39,1,52,1,-1,6,3,24,14
2,40,1,54,1,-1,10,3,40,13
1,39,1,49,1,-1,10,8,40,20
1,39,1,53,1,-1,12,8,47,20
1,39,1,20,1,-1,12,8,47,20
2,43,1,48,1,-1,6,5,24,17
2,39,1,29,1,-1,5,1,21,1
1,40,1,48,1,-1,4,8,17,20
2,42,1,42,1,-1,10,2,42,10
2,42,1,65,1,-1,10,2,41,10
2,39,2,49,1,-1,8,1,33,2
1,39,1,39,1,-1,6,4,23,16
2,39,1,29,1,-1,12,3,48,15
2,43,2,49,1,-1,8,1,32,1
1,39,2,29,1,-1,6,10,23,22
1,39,2,28,1,-1,6,10,23,22
2,39,1,21,1,-1,5,10,22,22
1,39,1,23,1,-1,5,10,22,22
2,41,2,40,1,-1,12,3,48,15
1,40,1,36,1,-1,4,8,6,20
1,41,1,55,1,-1,3,7,4,19
1,42,1,64,1,-1,10,5,42,17
2,39,1,60,1,-1,8,5,32,17
1,43,1,35,1,-1,4,2,13,3
2,44,1,36,1,-1,12,3,49,15
1,44,4,38,1,-1,4,1,10,1
1,43,1,38,1,-1,4,9,19,21
2,44,1,35,1,-1,12,2,49,6
1,44,1,54,1,-1,9,8,36,20
2,39,1,50,1,-1,12,10,48,22
2,39,1,46,1,-1,10,2,40,10
1,39,1,49,1,-1,4,9,10,21
1,39,1,23,1,-1,13,10,51,22
2,44,1,51,1,-1,4,2,10,9
1,43,1,25,1,-1,13,1,51,2
2,43,1,24,1,-1,13,2,51,4
1,44,1,66,1,-1,13,3,51,12
1,39,4,46,1,-1,11,3,44,15
2,39,4,45,1,-1,11,3,44,15
2,39,4,47,1,-1,12,3,48,15
1,39,4,48,1,-1,12,3,48,15
2,43,1,65,1,-1,10,2,42,10
1,36,1,43,4,30,12,8,47,20
2,39,1,33,1,-1,10,3,41,11
1,43,2,26,1,-1,5,10,22,22
2,39,2,65,1,-1,13,2,51,10
1,40,2,48,1,-1,4,5,14,17
2,43,2,19,1,-1,10,2,42,10
1,39,2,21,1,-1,5,10,22,22
2,39,2,39,1,-1,5,1,22,1
2,39,2,19,1,-1,11,3,46,13
1,40,1,74,1,-1,13,1,51,1
2,44,2,47,1,-1,10,2,40,8
2,39,1,51,1,-1,5,2,22,10
1,42,1,65,1,-1,5,1,21,1
1,45,1,67,1,-1,10,2,42,10
2,40,1,28,1,-1,5,1,22,2
1,41,1,28,1,-1,5,10,22,22
2,41,1,51,1,-1,10,3,40,13
1,41,1,50,1,-1,4,2,9,3
1,41,1,67,5,-1,12,8,47,20
1,40,1,37,1,-1,3,7,4,19
2,43,2,38,1,-1,8,1,32,1
1,43,1,50,1,-1,5,4,22,16
2,46,1,49,1,-1,10,1,40,1
2,39,1,71,1,-1,8,5,32,17
1,39,1,25,1,-1,11,2,44,9
2,39,1,71,1,-1,8,4,34,16
2,43,1,75,3,50,10,2,40,8
1,39,2,61,1,-1,3,7,4,19
2,43,2,55,1,-1,13,2,51,10
2,43,2,29,1,-1,10,2,40,8
1,39,2,43,1,-1,5,4,22,16
1,43,1,55,4,8,8,1,33,1
2,39,1,22,1,-1,11,3,46,13
2,42,1,22,1,-1,11,3,46,13
2,40,1,35,1,-1,12,3,48,15
1,44,1,37,1,-1,4,2,10,4
1,39,4,46,1,-1,6,5,23,17
2,39,4,37,1,-1,4,9,10,21
2,43,2,58,1,-1,10,2,41,10
1,34,1,45,1,-1,9,5,36,17
2,43,1,45,1,-1,8,1,33,2
1,43,1,25,1,-1,10,2,41,10
1,43,1,27,1,-1,4,2,13,4
2,39,1,65,5,-1,10,3,43,15
1,39,1,30,1,-1,4,8,13,20
1,39,1,27,1,-1,4,8,13,20
1,40,1,62,1,-1,6,10,23,22
1,41,1,56,1,-1,4,7,6,19
1,40,1,76,1,-1,11,3,46,13
2,42,1,41,1,-1,10,5,40,17
2,40,1,19,1,-1,10,2,43,8
1,37,1,17,1,-1,11,3,46,14
2,44,2,41,1,-1,8,1,32,1
1,43,1,33,1,-1,6,10,23,22
1,34,1,46,4,119,3,7,4,19
1,39,1,53,1,-1,5,10,22,22
1,43,1,49,1,-1,10,2,41,10
1,44,1,70,1,-1,7,1,28,1
1,42,6,44,2,-1,11,3,46,13
2,43,1,42,2,-1,8,1,32,2
1,43,1,24,1,-1,4,2,10,4
2,43,1,43,1,-1,13,2,51,6
1,45,1,45,1,-1,10,1,40,1
1,43,1,61,1,-1,7,2,25,9
2,43,1,61,1,-1,10,1,42,2
1,40,1,50,1,-1,3,1,4,1
2,44,1,46,1,-1,10,2,40,8
1,43,1,58,1,-1,6,2,24,3
2,46,1,63,1,-1,10,2,41,10
2,43,1,68,1,-1,10,2,41,10
1,43,1,70,1,-1,6,2,24,3
1,39,2,53,1,-1,11,9,44,21
1,43,2,43,1,-1,6,5,23,17
2,43,1,28,1,-1,9,2,36,9
1,39,1,58,1,-1,3,1,4,1
2,40,1,56,1,-1,11,3,44,13
1,40,1,24,1,-1,11,3,46,13
1,36,3,46,3,2,9,3,38,14
1,37,1,46,3,10,3,7,4,19
1,44,2,70,1,-1,10,2,42,6
2,39,1,65,1,-1,8,1,32,2
1,40,1,64,1,-1,13,3,51,12
2,40,1,34,1,-1,10,3,42,11
2,40,1,26,1,-1,5,4,22,16
1,39,1,24,1,-1,11,3,44,15
1,39,2,61,1,-1,5,1,22,1
2,44,2,54,1,-1,10,2,40,8
1,44,2,65,4,12,11,2,44,9
2,42,2,64,1,-1,13,2,51,7
1,39,2,32,1,-1,9,3,38,14
1,44,4,35,1,-1,9,2,36,4
2,44,4,36,1,-1,5,4,22,16
2,43,1,31,1,-1,13,3,51,12
1,43,1,34,1,-1,4,4,13,16
2,43,1,62,1,-1,8,5,32,17
2,44,2,46,1,-1,4,1,19,2
1,44,2,49,1,-1,8,1,32,2
2,43,1,62,1,-1,12,1,49,1
1,39,1,44,1,-1,7,8,29,20
2,39,1,44,1,-1,9,5,36,17
1,39,1,67,1,-1,10,10,43,22
2,39,1,66,1,-1,8,5,33,17
2,43,1,36,1,-1,9,2,36,3
1,44,1,33,1,-1,10,2,40,6
1,46,1,35,1,-1,10,2,41,10
1,46,2,50,1,-1,9,2,36,7
1,40,1,71,1,-1,5,4,22,16
1,46,1,75,1,-1,10,2,41,10
1,43,1,53,1,-1,8,2,32,8
1,43,1,77,1,-1,9,2,36,3
2,43,1,60,1,-1,4,9,8,21
2,44,1,56,1,-1,10,2,40,8
2,39,2,55,4,6,8,5,32,17
1,39,2,29,1,-1,6,10,23,22
2,44,1,33,1,-1,9,1,36,2
1,43,1,31,1,-1,13,2,51,8
1,44,4,33,1,-1,9,2,36,3
2,43,2,78,1,-1,10,2,43,6
1,43,2,42,1,-1,4,2,6,4
2,43,1,55,1,-1,11,3,44,15
1,43,1,26,1,-1,1,3,1,14
1,43,1,22,1,-1,9,9,36,21
