peeduca,ptdtrace,prtage,pemlr,prunedur,prmjind1,prmjocc1,prdtind1,prdtocc1
39,1,40,1,-1,10,5,42,17
36,1,17,1,-1,5,4,22,16
42,1,35,1,-1,8,5,33,17
39,1,33,1,-1,8,4,34,16
41,1,52,1,-1,13,3,51,12
40,1,52,1,-1,8,5,32,17
40,1,53,1,-1,6,1,24,1
43,2,66,1,-1,10,10,41,22
39,1,32,1,-1,3,7,4,19
43,1,53,1,-1,4,5,18,17
43,1,57,1,-1,4,2,17,4
39,7,52,1,-1,5,4,22,16
39,1,52,1,-1,5,5,22,17
40,1,30,1,-1,5,5,22,17
39,1,31,1,-1,4,4,15,16
43,1,67,1,-1,10,1,42,1
39,1,70,1,-1,3,7,4,19
39,1,69,1,-1,6,10,23,22
35,1,54,1,-1,4,9,6,21
37,1,53,1,-1,5,2,22,9
39,1,40,1,-1,6,5,23,17
44,1,68,1,-1,10,1,42,1
43,1,57,1,-1,9,4,38,16
43,1,58,1,-1,8,2,33,3
40,1,28,1,-1,5,4,22,16
39,1,49,1,-1,5,4,22,16
39,1,48,1,-1,5,4,22,16
40,1,25,1,-1,5,10,22,22
45,1,70,1,-1,7,2,27,3
44,1,63,1,-1,9,1,36,2
39,2,28,1,-1,11,3,46,13
39,1,29,1,-1,12,9,47,21
39,2,27,1,-1,11,3,46,13
40,2,35,1,-1,6,10,23,22
39,2,43,1,-1,4,9,10,21
44,1,36,1,-1,10,2,42,3
46,1,34,1,-1,10,2,42,10
43,1,34,1,-1,10,2,41,6
46,1,25,1,-1,10,2,42,10
43,1,24,1,-1,5,4,22,16
46,1,35,1,-1,10,2,40,5
44,1,40,1,-1,12,2,49,6
43,1,58,1,-1,8,1,32,1
43,1,56,1,-1,8,1,32,1
43,1,42,1,-1,5,4,21,16
43,1,38,1,-1,9,1,36,2
42,1,51,1,-1,4,2,9,4
39,1,48,1,-1,10,3,42,11
39,1,23,1,-1,3,7,4,19
